No,Date,Price,Open,High,Low,Vol.,Change %
1064,11/26/2021,"15,491.66","15,664.38","15,731.54","15,456.09",781.49M,-2.23%
1065,11/29/2021,"15,782.83","15,719.42","15,833.11","15,644.62",1.01B,1.88%
1066,11/30/2021,"15,537.69","15,716.50","15,828.20","15,451.38",1.78B,-1.55%
1067,12/1/2021,"15,254.05","15,752.27","15,816.82","15,243.93",1.22B,-1.83%
1068,12/2/2021,"15,381.32","15,181.82","15,444.54","15,150.12",1.10B,0.83%
1069,12/3/2021,"15,085.47","15,428.71","15,470.36","14,931.05",1.20B,-1.92%
1070,12/6/2021,"15,225.15","15,117.63","15,281.99","14,931.61",1.07B,0.93%
1071,12/7/2021,"15,686.92","15,510.91","15,720.09","15,507.66",1.06B,3.03%
1072,12/8/2021,"15,786.99","15,690.65","15,792.64","15,618.88",921.93M,0.64%
1073,12/9/2021,"15,517.37","15,720.54","15,796.05","15,511.12",869.50M,-1.71%
1074,12/10/2021,"15,630.60","15,629.59","15,677.60","15,477.85",875.08M,0.73%
1075,12/13/2021,"15,413.28","15,621.27","15,637.06","15,408.25",996.25M,-1.39%
1076,12/14/2021,"15,237.64","15,215.96","15,317.55","15,097.35",1.03B,-1.14%
1077,12/15/2021,"15,565.58","15,230.71","15,575.76","15,055.22",1.17B,2.15%
1078,12/16/2021,"15,180.43","15,629.08","15,633.19","15,119.49",1.10B,-2.47%
1079,12/17/2021,"15,169.68","15,036.77","15,288.78","14,960.37",3.01B,-0.07%
1080,12/20/2021,"14,980.94","14,933.00","15,007.30","14,860.04",1.02B,-1.24%
1081,12/21/2021,"15,341.09","15,140.43","15,349.06","15,015.03",976.83M,2.40%
1082,12/22/2021,"15,521.89","15,319.16","15,525.97","15,303.06",783.47M,1.18%
1083,12/23/2021,"15,653.37","15,544.79","15,697.98","15,528.91",746.13M,0.85%
1084,12/27/2021,"15,871.26","15,696.83","15,871.40","15,696.83",741.10M,1.39%
1085,12/28/2021,"15,781.72","15,895.20","15,901.47","15,757.07",691.47M,-0.56%
1086,12/29/2021,"15,766.22","15,794.92","15,821.81","15,679.85",699.59M,-0.10%
1087,12/30/2021,"15,741.56","15,758.98","15,868.09","15,729.16",768.18M,-0.16%
1088,12/31/2021,"15,644.97","15,722.91","15,777.43","15,643.93",729.41M,-0.61%
1089,1/3/2022,"15,832.80","15,732.50","15,832.80","15,644.09",871.65M,1.20%
1090,1/4/2022,"15,622.72","15,852.14","15,852.14","15,512.41",970.70M,-1.33%
1091,1/5/2022,"15,100.17","15,547.16","15,586.30","15,095.18",1.01B,-3.34%
1092,1/6/2022,"15,080.87","15,024.15","15,198.45","14,914.87",951.12M,-0.13%
1093,1/7/2022,"14,935.90","15,095.72","15,171.02","14,877.63",852.53M,-0.96%
1094,1/10/2022,"14,942.83","14,751.78","14,953.86","14,530.23",1.09B,0.05%
1095,1/11/2022,"15,153.45","14,919.26","15,158.71","14,837.63",863.02M,1.41%
1096,1/12/2022,"15,188.39","15,263.10","15,319.03","15,117.29",840.02M,0.23%
1097,1/13/2022,"14,806.81","15,245.04","15,259.71","14,782.24",852.15M,-2.51%
1098,1/14/2022,"14,893.75","14,708.02","14,897.67","14,689.43",872.56M,0.59%
1099,1/18/2022,"14,506.90","14,681.83","14,740.54","14,482.94",1.06B,-2.60%
1100,1/19/2022,"14,340.25","14,582.22","14,658.89","14,331.65",935.06M,-1.15%
1101,1/20/2022,"14,154.02","14,462.85","14,642.03","14,140.78",1.02B,-1.30%
1102,1/21/2022,"13,768.92","14,046.22","14,171.72","13,764.24",1.32B,-2.72%
1103,1/24/2022,"13,855.13","13,481.50","13,876.61","13,094.65",1.55B,0.63%
1104,1/25/2022,"13,539.29","13,610.87","13,781.62","13,414.14",1.04B,-2.28%
1105,1/26/2022,"13,542.12","13,871.77","14,002.65","13,392.19",1.18B,0.02%
1106,1/27/2022,"13,352.78","13,710.99","13,765.91","13,322.66",1.07B,-1.40%
1107,1/28/2022,"13,770.57","13,436.71","13,771.91","13,236.55",1.06B,3.13%
1108,1/31/2022,"14,239.88","13,812.19","14,242.90","13,767.71",1.24B,3.41%
1109,2/1/2022,"14,346.00","14,277.43","14,358.69","14,070.77",962.00M,0.75%
1110,2/2/2022,"14,417.55","14,494.47","14,504.82","14,264.65",1.00B,0.50%
1111,2/3/2022,"13,878.82","14,045.83","14,207.88","13,851.75",945.51M,-3.74%
1112,2/4/2022,"14,098.01","13,958.48","14,222.76","13,850.39",862.97M,1.58%
1113,2/7/2022,"14,015.67","14,118.79","14,236.31","13,974.10",858.02M,-0.58%
1114,2/8/2022,"14,194.46","13,984.43","14,226.48","13,934.78",865.50M,1.28%
1115,2/9/2022,"14,490.37","14,368.16","14,490.72","14,330.87",935.01M,2.08%
1116,2/10/2022,"14,185.64","14,228.68","14,509.56","14,118.20",1.06B,-2.10%
1117,2/11/2022,"13,791.15","14,213.62","14,246.70","13,733.16",1.08B,-2.78%
1118,2/14/2022,"13,790.92","13,768.97","13,921.71","13,664.76",936.80M,0.00%
1119,2/15/2022,"14,139.76","13,997.18","14,142.49","13,976.29",903.09M,2.53%
1120,2/16/2022,"14,124.09","14,038.92","14,163.73","13,931.99",838.99M,-0.11%
1121,2/17/2022,"13,716.72","14,004.19","14,020.82","13,704.70",922.82M,-2.88%
1122,2/18/2022,"13,548.07","13,735.40","13,762.40","13,465.56",1.02B,-1.23%
1123,2/22/2022,"13,381.52","13,424.36","13,618.71","13,249.65",1.02B,-1.23%
1124,2/23/2022,"13,037.49","13,511.75","13,533.78","13,032.17",944.40M,-2.57%
1125,2/24/2022,"13,473.58","12,587.88","13,486.11","12,587.88",1.38B,3.34%
1126,2/25/2022,"13,694.62","13,485.26","13,696.86","13,358.29",978.45M,1.64%
1127,2/28/2022,"13,751.40","13,570.83","13,810.64","13,549.90",1.39B,0.41%
1128,3/1/2022,"13,532.46","13,716.70","13,777.04","13,441.32",1.24B,-1.59%
1129,3/2/2022,"13,752.02","13,597.53","13,796.55","13,493.91",1.03B,1.62%
1130,3/3/2022,"13,537.94","13,837.59","13,837.59","13,472.64",1.03B,-1.56%
1131,3/4/2022,"13,313.44","13,455.23","13,486.71","13,224.98",1.04B,-1.66%
1132,3/7/2022,"12,830.96","13,328.36","13,353.28","12,828.02",1.29B,-3.62%
1133,3/8/2022,"12,795.55","12,800.04","13,159.44","12,670.08",1.34B,-0.28%
1134,3/9/2022,"13,255.55","13,113.70","13,301.16","13,039.79",1.12B,3.59%
1135,3/10/2022,"13,129.96","13,098.35","13,163.50","12,946.28",961.59M,-0.95%
1136,3/11/2022,"12,843.81","13,229.77","13,239.35","12,830.37",1.02B,-2.18%
1137,3/14/2022,"12,581.22","12,795.12","12,918.01","12,555.35",1.21B,-2.04%
1138,3/15/2022,"12,948.62","12,685.23","12,973.88","12,616.59",1.13B,2.92%
1139,3/16/2022,"13,436.55","13,119.37","13,440.12","12,992.20",1.41B,3.77%
1140,3/17/2022,"13,614.78","13,360.72","13,620.80","13,317.14",1.14B,1.33%
1141,3/18/2022,"13,893.84","13,564.63","13,899.28","13,528.06",2.85B,2.05%
1142,3/21/2022,"13,838.46","13,860.39","13,945.80","13,682.55",1.14B,-0.40%
1143,3/22/2022,"14,108.82","13,866.43","14,141.07","13,857.29",1.10B,1.95%
1144,3/23/2022,"13,922.60","13,990.35","14,152.14","13,921.65",961.73M,-1.32%
1145,3/24/2022,"14,191.84","14,001.32","14,193.55","13,897.20",916.74M,1.93%
1146,3/25/2022,"14,169.30","14,194.72","14,218.76","14,010.79",941.78M,-0.16%
1147,3/28/2022,"14,354.90","14,177.21","14,356.00","14,101.34",892.94M,1.31%
1148,3/29/2022,"14,619.64","14,500.39","14,646.90","14,419.40",1.09B,1.84%
1149,3/30/2022,"14,442.28","14,558.59","14,609.25","14,383.45",1.01B,-1.21%
1150,3/31/2022,"14,220.52","14,444.78","14,456.74","14,217.72",1.10B,-1.54%
1151,4/1/2022,"14,261.50","14,269.53","14,306.94","14,131.81",1.02B,0.29%
1152,4/4/2022,"14,532.55","14,304.35","14,534.38","14,286.45",915.41M,1.90%
1153,4/5/2022,"14,204.17","14,490.26","14,500.29","14,169.12",930.40M,-2.26%
1154,4/6/2022,"13,888.82","14,002.58","14,032.84","13,788.90",1.09B,-2.22%
1155,4/7/2022,"13,897.30","13,861.49","13,978.25","13,689.23",931.35M,0.06%
1156,4/8/2022,"13,711.00","13,830.47","13,866.06","13,693.69",858.45M,-1.34%
1157,4/11/2022,"13,411.96","13,547.29","13,585.08","13,401.39",991.30M,-2.18%
1158,4/12/2022,"13,371.57","13,584.69","13,685.95","13,317.74",902.42M,-0.30%
1159,4/13/2022,"13,643.59","13,373.12","13,679.43","13,353.66",910.79M,2.03%
1160,4/14/2022,"13,351.08","13,647.42","13,662.93","13,345.22",927.38M,-2.14%
1161,4/18/2022,"13,332.36","13,319.39","13,414.27","13,222.03",832.41M,-0.14%
1162,4/19/2022,"13,619.66","13,312.44","13,643.97","13,281.22",855.29M,2.15%
1163,4/20/2022,"13,453.07","13,665.38","13,678.55","13,426.13",871.26M,-1.22%
1164,4/21/2022,"13,174.65","13,623.70","13,710.70","13,140.83",993.83M,-2.07%
1165,4/22/2022,"12,839.29","13,168.80","13,212.61","12,828.02",950.70M,-2.55%
1166,4/25/2022,"13,004.85","12,749.17","13,011.45","12,722.59",988.04M,1.29%
1167,4/26/2022,"12,490.74","12,918.04","12,918.04","12,490.74",1.02B,-3.95%
1168,4/27/2022,"12,488.93","12,500.88","12,703.79","12,430.90",942.84M,-0.01%
1169,4/28/2022,"12,871.53","12,712.86","12,948.52","12,487.86",1.01B,3.06%
1170,4/29/2022,"12,334.64","12,710.42","12,861.83","12,315.74",1.09B,-4.17%
1171,5/2/2022,"12,536.02","12,331.69","12,542.54","12,202.41",1.04B,1.63%
1172,5/3/2022,"12,563.76","12,511.46","12,645.83","12,460.99",897.83M,0.22%
1173,5/4/2022,"12,964.86","12,574.73","12,985.01","12,367.02",1.11B,3.19%
1174,5/5/2022,"12,317.69","12,787.52","12,787.52","12,183.56",1.10B,-4.99%
1175,5/6/2022,"12,144.66","12,246.83","12,358.42","11,990.15",1.09B,-1.40%
1176,5/9/2022,"11,623.25","11,923.03","11,990.61","11,574.94",1.24B,-4.29%
1177,5/10/2022,"11,737.67","11,900.34","11,944.94","11,566.28",1.28B,0.98%
1178,5/11/2022,"11,364.24","11,645.57","11,844.50","11,339.18",1.27B,-3.18%
1179,5/12/2022,"11,370.96","11,199.25","11,547.33","11,108.76",1.40B,0.06%
1180,5/13/2022,"11,805.00","11,555.97","11,856.71","11,510.25",1.23B,3.82%
1181,5/16/2022,"11,662.79","11,727.14","11,804.59","11,627.53",978.06M,-1.20%
1182,5/17/2022,"11,984.52","11,905.57","11,988.43","11,754.28",1.02B,2.76%
1183,5/18/2022,"11,418.15","11,790.68","11,826.22","11,381.69",1.03B,-4.73%
1184,5/19/2022,"11,388.50","11,364.40","11,562.82","11,313.31",1.05B,-0.26%
1185,5/20/2022,"11,354.62","11,542.67","11,552.21","11,035.69",1.20B,-0.30%
1186,5/23/2022,"11,535.28","11,396.28","11,552.07","11,304.56",889.21M,1.59%
1187,5/24/2022,"11,264.45","11,326.44","11,351.61","11,092.48",924.23M,-2.35%
1188,5/25/2022,"11,434.74","11,225.03","11,511.90","11,211.85",907.18M,1.51%
1189,5/26/2022,"11,740.65","11,409.84","11,796.97","11,406.16",930.42M,2.68%
1190,5/27/2022,"12,131.13","11,869.69","12,131.66","11,856.82",942.22M,3.33%
1191,5/31/2022,"12,081.39","12,137.54","12,190.08","11,942.50",1.77B,-0.41%
1192,6/1/2022,"11,994.46","12,176.89","12,237.93","11,901.43",940.60M,-0.72%
1193,6/2/2022,"12,316.90","11,945.57","12,320.12","11,901.45",916.66M,2.69%
1194,6/3/2022,"12,012.73","12,097.12","12,167.44","11,966.62",837.59M,-2.47%
1195,6/6/2022,"12,061.37","12,200.33","12,245.40","12,004.20",911.01M,0.40%
1196,6/7/2022,"12,175.23","11,925.81","12,194.86","11,888.62",900.55M,0.94%
1197,6/8/2022,"12,086.27","12,147.28","12,235.78","12,052.70",911.77M,-0.73%
1198,6/9/2022,"11,754.23","12,016.47","12,115.07","11,751.98",998.87M,-2.75%
1199,6/10/2022,"11,340.02","11,543.88","11,569.15","11,328.27",1.06B,-3.52%
